tanggal,nama_provinsi,bps_nama_kabupaten_kota,jumlah_curah_hujan,satuan,tahun,bulan
2017-01-01,Jawa Barat,Kota Bandung,65.3,MM,2017,Januari
2017-02-01,Jawa Barat,Kota Bandung,199.3,MM,2017,Februari
2017-03-01,Jawa Barat,Kota Bandung,389.3,MM,2017,Maret
2017-04-01,Jawa Barat,Kota Bandung,220.2,MM,2017,April
2017-05-01,Jawa Barat,Kota Bandung,222.3,MM,2017,Mei
2017-06-01,Jawa Barat,Kota Bandung,106.4,MM,2017,Juni
2017-07-01,Jawa Barat,Kota Bandung,39.1,MM,2017,Juli
2017-08-01,Jawa Barat,Kota Bandung,48.4,MM,2017,Agustus
2017-09-01,Jawa Barat,Kota Bandung,90.8,MM,2017,September
2017-10-01,Jawa Barat,Kota Bandung,345.3,MM,2017,Oktober
2017-11-01,Jawa Barat,Kota Bandung,442.2,MM,2017,November
2017-12-01,Jawa Barat,Kota Bandung,129.9,MM,2017,Desember
2018-01-01,Jawa Barat,Kota Bandung,191.0,MM,2018,Januari
2018-02-01,Jawa Barat,Kota Bandung,239.3,MM,2018,Februari
2018-03-01,Jawa Barat,Kota Bandung,292.0,MM,2018,Maret
2018-04-01,Jawa Barat,Kota Bandung,297.6,MM,2018,April
2018-05-01,Jawa Barat,Kota Bandung,123.9,MM,2018,Mei
2018-06-01,Jawa Barat,Kota Bandung,33.4,MM,2018,Juni
2018-07-01,Jawa Barat,Kota Bandung,0.3,MM,2018,Juli
2018-08-01,Jawa Barat,Kota Bandung,38.9,MM,2018,Agustus
2018-09-01,Jawa Barat,Kota Bandung,40.8,MM,2018,September
2018-10-01,Jawa Barat,Kota Bandung,124.8,MM,2018,Oktober
2018-11-01,Jawa Barat,Kota Bandung,483.2,MM,2018,November
2018-12-01,Jawa Barat,Kota Bandung,323.5,MM,2018,Desember
2019-01-01,Jawa Barat,Kota Bandung,231.6,MM,2019,Januari
2019-02-01,Jawa Barat,Kota Bandung,269.1,MM,2019,Februari
2019-03-01,Jawa Barat,Kota Bandung,222.7,MM,2019,Maret
2019-04-01,Jawa Barat,Kota Bandung,298.9,MM,2019,April
2019-05-01,Jawa Barat,Kota Bandung,245.7,MM,2019,Mei
2019-06-01,Jawa Barat,Kota Bandung,26.5,MM,2019,Juni
2019-07-01,Jawa Barat,Kota Bandung,13.4,MM,2019,Juli
2019-08-01,Jawa Barat,Kota Bandung,0.2,MM,2019,Agustus
2019-09-01,Jawa Barat,Kota Bandung,55.0,MM,2019,September
2019-10-01,Jawa Barat,Kota Bandung,84.2,MM,2019,Oktober
2019-11-01,Jawa Barat,Kota Bandung,270.7,MM,2019,November
2019-12-01,Jawa Barat,Kota Bandung,313.5,MM,2019,Desember
2020-01-01,Jawa Barat,Kota Bandung,207.6,MM,2020,Januari
2020-02-01,Jawa Barat,Kota Bandung,336.6,MM,2020,Februari
2020-03-01,Jawa Barat,Kota Bandung,290.8,MM,2020,Maret
2020-04-01,Jawa Barat,Kota Bandung,271.4,MM,2020,April
2020-05-01,Jawa Barat,Kota Bandung,292.3,MM,2020,Mei
2020-06-01,Jawa Barat,Kota Bandung,30.3,MM,2020,Juni
2020-07-01,Jawa Barat,Kota Bandung,63.7,MM,2020,Juli
2020-08-01,Jawa Barat,Kota Bandung,41.6,MM,2020,Agustus
2020-09-01,Jawa Barat,Kota Bandung,87.7,MM,2020,September
2020-10-01,Jawa Barat,Kota Bandung,327.3,MM,2020,Oktober
2020-11-01,Jawa Barat,Kota Bandung,207.3,MM,2020,November
2020-12-01,Jawa Barat,Kota Bandung,261.8,MM,2020,Desember
2021-01-01,Jawa Barat,Kota Bandung,146.4,MM,2021,Januari
2021-02-01,Jawa Barat,Kota Bandung,153.9,MM,2021,Februari
2021-03-01,Jawa Barat,Kota Bandung,292.5,MM,2021,Maret
2021-04-01,Jawa Barat,Kota Bandung,177.3,MM,2021,April
2021-05-01,Jawa Barat,Kota Bandung,239.0,MM,2021,Mei
2021-06-01,Jawa Barat,Kota Bandung,92.4,MM,2021,Juni
2021-07-01,Jawa Barat,Kota Bandung,33.2,MM,2021,Juli
2021-08-01,Jawa Barat,Kota Bandung,91.8,MM,2021,Agustus
2021-09-01,Jawa Barat,Kota Bandung,773.0,MM,2021,September
2021-10-01,Jawa Barat,Kota Bandung,218.4,MM,2021,Oktober
2021-11-01,Jawa Barat,Kota Bandung,454.3,MM,2021,November
2021-12-01,Jawa Barat,Kota Bandung,1985.0,MM,2021,Desember
2022-01-01,Jawa Barat,Kota Bandung,59.5,MM,2022,Januari
2022-02-01,Jawa Barat,Kota Bandung,117.1,MM,2022,Februari
2022-03-01,Jawa Barat,Kota Bandung,238.9,MM,2022,Maret
2022-04-01,Jawa Barat,Kota Bandung,336.2,MM,2022,April
2022-05-01,Jawa Barat,Kota Bandung,146.9,MM,2022,Mei
2022-06-01,Jawa Barat,Kota Bandung,150.6,MM,2022,Juni
2022-07-01,Jawa Barat,Kota Bandung,98.5,MM,2022,Juli
2022-08-01,Jawa Barat,Kota Bandung,29.9,MM,2022,Agustus
2022-09-01,Jawa Barat,Kota Bandung,182.2,MM,2022,September
2022-10-01,Jawa Barat,Kota Bandung,366.7,MM,2022,Oktober
2022-11-01,Jawa Barat,Kota Bandung,307.2,MM,2022,November
2022-12-01,Jawa Barat,Kota Bandung,277.7,MM,2022,Desember
2023-01-01,Jawa Barat,Kota Bandung,67.0,MM,2023,Januari
2023-02-01,Jawa Barat,Kota Bandung,111.0,MM,2023,Februari
2023-03-01,Jawa Barat,Kota Bandung,200.0,MM,2023,Maret
2023-04-01,Jawa Barat,Kota Bandung,276.0,MM,2023,April
2023-05-01,Jawa Barat,Kota Bandung,269.0,MM,2023,Mei
2023-06-01,Jawa Barat,Kota Bandung,90.0,MM,2023,Juni
2023-07-01,Jawa Barat,Kota Bandung,24.0,MM,2023,Juli
2023-08-01,Jawa Barat,Kota Bandung,30.0,MM,2023,Agustus
2023-09-01,Jawa Barat,Kota Bandung,18.0,MM,2023,September
2023-10-01,Jawa Barat,Kota Bandung,62.0,MM,2023,Oktober
2023-11-01,Jawa Barat,Kota Bandung,239.0,MM,2023,November
2023-12-01,Jawa Barat,Kota Bandung,365.0,MM,2023,Desember
